Country,HDI rank,2015 Human Development Index (HDI) ,2015 Life expectancy at birth (Years),2015 Expected years of schooling (Years),2015 Mean years of schooling (Year),2015 Gross national income (GNI) per capita (2011 PPP $),2015 GNI per capita rank minus HDI rank,2014HDI rank
Norway,1,0.949,81.7,17.7,12.7,67614,5,1
Australia,2,0.939,82.5,20.4,13.2,42822,19,3
Switzerland,2,0.939,83.1,16,13.4,56364,7,2
Germany,4,0.926,81.1,17.1,13.2,45000,13,4
Denmark,5,0.925,80.4,19.2,12.7,44519,13,6
Singapore,5,0.925,83.2,15.4,11.6,78162,-3,4
Netherlands,7,0.924,81.7,18.1,11.9,46326,8,6
Ireland,8,0.923,81.1,18.6,12.3,43798,11,8
Iceland,9,0.921,82.7,19,12.2,37065,20,9
Canada,10,0.92,82.2,16.3,13.1,42582,12,9
United States,10,0.92,79.2,16.5,13.2,53245,1,11
Hong Kong China (SAR),12,0.917,84.2,15.7,11.6,54265,-2,12
New Zealand,13,0.915,82,19.2,12.5,32870,20,13
Sweden,14,0.913,82.3,16.1,12.3,46251,2,15
Liechtenstein,15,0.912,80.2,14.6,12.4,75065,-11,14
United Kingdom,16,0.909,80.8,16.3,13.3,37931,10,16
Japan,17,0.903,83.7,15.3,12.5,37268,10,17
Korea (Republic of),18,0.901,82.1,16.6,12.2,34541,12,18
Israel,19,0.899,82.6,16,12.8,31215,16,19
Luxembourg,20,0.898,81.9,13.9,12,62471,-12,20
France,21,0.897,82.4,16.3,11.6,38085,4,22
Belgium,22,0.896,81,16.6,11.4,41243,1,21
Finland,23,0.895,81,17,11.2,38868,1,23
Austria,24,0.893,81.6,15.9,11.3,43609,-4,24
Slovenia,25,0.89,80.6,17.3,12.1,28664,13,25
Italy,26,0.887,83.3,16.3,10.9,33573,6,27
Spain,27,0.884,82.8,17.7,9.8,32779,7,26
Czech Republic,28,0.878,78.8,16.8,12.3,28144,11,28
Greece,29,0.866,81.1,17.2,10.5,24808,16,29
Brunei Darussalam,30,0.865,79,14.9,9,72843,-25,30
Estonia,30,0.865,77,16.5,12.5,26362,12,31
Andorra,32,0.858,81.5,13.5,10.3,47979,-18,32
Cyprus,33,0.856,80.3,14.3,11.7,29459,4,34
Malta,33,0.856,80.7,14.6,11.3,29500,3,35
Qatar,33,0.856,78.3,13.4,9.8,129916,-32,33
Poland,36,0.855,77.6,16.4,11.9,24117,11,36
Lithuania,37,0.848,73.5,16.5,12.7,26006,7,37
Chile,38,0.847,82,16.3,9.9,21665,16,38
Saudi Arabia,38,0.847,74.4,16.1,9.6,51320,-26,38
Slovakia,40,0.845,76.4,15,12.2,26764,1,40
Portugal,41,0.843,81.2,16.6,8.9,26104,2,41
United Arab Emirates,42,0.84,77.1,13.3,9.5,66203,-35,42
Hungary,43,0.836,75.3,15.6,12,23394,6,43
Latvia,44,0.83,74.3,16,11.7,22589,7,44
Argentina,45,0.827,76.5,17.3,9.9,20945,12,45
Croatia,45,0.827,77.5,15.3,11.2,20291,14,46
Bahrain,47,0.824,76.7,14.5,9.4,37236,-19,46
Montenegro,48,0.807,76.4,15.1,11.3,15410,24,49
Russian Federation,49,0.804,70.3,15,12,23286,1,48
Romania,50,0.802,74.8,14.7,10.8,19428,11,51
Kuwait,51,0.8,74.5,13.3,7.3,76075,-48,50
Belarus,52,0.796,71.5,15.7,12,15629,19,51
Oman,52,0.796,77,13.7,8.1,34402,-21,53
Barbados,54,0.795,75.8,15.3,10.5,14952,20,54
Uruguay,54,0.795,77.4,15.5,8.6,19148,8,54
Bulgaria,56,0.794,74.3,15,10.8,16261,13,57
Kazakhstan,56,0.794,69.6,15,11.7,22093,-3,56
Bahamas,58,0.792,75.6,12.7,10.9,21565,-3,58
Malaysia,59,0.789,74.9,13.1,10.1,24620,-13,59
Palau,60,0.788,72.9,14.3,12.3,13771,21,62
Panama,60,0.788,77.8,13,9.9,19470,0,60
Antigua and Barbuda,62,0.786,76.2,13.9,9.2,20907,-4,61
Seychelles,63,0.782,73.3,14.1,9.4,23886,-15,63
Mauritius,64,0.781,74.6,15.2,9.1,17948,1,64
Trinidad and Tobago,65,0.78,70.5,12.7,10.9,28049,-25,64
Costa Rica,66,0.776,79.6,14.2,8.7,14006,14,66
Serbia,66,0.776,75,14.4,10.8,12202,22,66
Cuba,68,0.775,79.6,13.9,11.8,7455,48,69
Iran (Islamic Republic of),69,0.774,75.6,14.8,8.8,16395,-2,68
Georgia,70,0.769,75,13.9,12.2,8856,38,71
Turkey,71,0.767,75.5,14.6,7.9,18705,-7,72
Venezuela (Bolivarian Republic of),71,0.767,74.4,14.3,9.4,15129,2,70
Sri Lanka,73,0.766,75,14,10.9,10789,21,72
Saint Kitts and Nevis,74,0.765,74,13.7,8.4,22436,-22,75
Albania,75,0.764,78,14.2,9.6,10252,24,75
Lebanon,76,0.763,79.5,13.3,8.6,13312,8,74
Mexico,77,0.762,77,13.3,8.6,16383,-9,77
Azerbaijan,78,0.759,70.9,12.7,11.2,16413,-12,77
Brazil,79,0.754,74.7,15.2,7.8,14145,-1,79
Grenada,79,0.754,73.6,15.8,8.6,11502,13,80
Bosnia and Herzegovina,81,0.75,76.6,14.2,9,10091,22,82
The former Yugoslav Republic of Macedonia,82,0.748,75.5,12.9,9.4,12405,5,83
Algeria,83,0.745,75,14.4,7.8,13533,-1,84
Armenia,84,0.743,74.9,12.7,11.3,8189,28,85
Ukraine,84,0.743,71.1,15.3,11.3,7361,34,81
Jordan,86,0.741,74.2,13.1,10.1,10111,15,85
Peru,87,0.74,74.8,13.4,9,11295,6,89
Thailand,87,0.74,74.6,13.6,7.9,14519,-11,88
Ecuador,89,0.739,76.1,14,8.3,10536,6,87
China,90,0.738,76,13.5,7.6,13345,-7,91
Fiji,91,0.736,70.2,15.3,10.5,8245,20,91
Mongolia,92,0.735,69.8,14.8,9.8,10449,4,93
Saint Lucia,92,0.735,75.2,13.1,9.3,9791,14,90
Jamaica,94,0.73,75.8,12.8,9.6,8350,16,94
Colombia,95,0.727,74.2,13.6,7.6,12762,-10,95
Dominica,96,0.726,77.9,12.8,7.9,10096,6,95
Suriname,97,0.725,71.3,12.7,8.3,16018,-27,97
Tunisia,97,0.725,75,14.6,7.1,10249,3,97
