Country,HDI rank,2015 Human Development Index (HDI) (Value),2015 Inequality-adjusted HDI (IHDI) Value,2015 Inequality-adjusted HDI (IHDI) Overall loss (%),2015 Inequality-adjusted HDI (IHDI) Difference from HDI rank,2015 Coefficient of human inequality,2010- 2015 Inequality in life expectancy (%),2015 Inequality-adjusted life expectancy index Value,2015 Inequality in education (%), 2015 Inequality-adjusted education index (Value),2015 Inequality in income (%),2015 Inequality-adjusted income index (Value),Income inequality (Quintile ratio),Income inequality (Palma ratio),Gini coefficient
Norway,1,0.949,0.898,5.4,0,5.4,3.3,0.918,2.4,0.894,10.4,0.882,3.8,0.9,25.9
Australia,2,0.939,0.861,8.2,-1,8,4.3,0.921,1.9,0.921,17.7,0.753,6,1.4,34.9
Switzerland,2,0.939,0.859,8.6,-4,8.4,3.8,0.934,5.7,0.84,15.7,0.806,4.9,1.2,31.6
Germany,4,0.926,0.859,7.2,-1,7,3.7,0.905,2.6,0.891,14.8,0.787,4.6,1.1,30.1
Denmark,5,0.925,0.858,7.2,-2,7,3.8,0.894,3,0.896,14.3,0.789,4.5,1,29.1
Singapore,5,0.925,..,..,..,..,3,0.943,..,..,..,..,..,..,..
Netherlands,7,0.924,0.861,6.9,2,6.8,3.7,0.914,4.2,0.859,12.4,0.812,4.2,1,28
Ireland,8,0.923,0.85,7.9,-2,7.7,3.7,0.905,3,0.883,16.3,0.769,5.3,1.3,32.5
Iceland,9,0.921,0.868,5.8,6,5.7,2.9,0.937,2.5,0.884,11.7,0.789,4,1,26.9
Canada,10,0.92,0.839,8.9,-2,8.7,4.7,0.912,3.9,0.856,17.4,0.755,5.8,1.3,33.7
United States,10,0.92,0.796,13.5,-10,12.9,6.1,0.856,5.6,0.85,27,0.692,9.1,2,41.1
Hong Kong China (SAR),12,0.917,..,..,..,..,2.8,0.959,..,..,..,..,..,..,..
New Zealand,13,0.915,..,..,..,..,4.6,0.91,..,..,..,..,..,..,..
Sweden,14,0.913,0.851,6.7,3,6.6,3.3,0.928,3.4,0.826,13.1,0.806,4.2,0.9,27.3
Liechtenstein,15,0.912,..,..,..,..,..,..,..,..,..,..,..,..,..
United Kingdom,16,0.909,0.836,8,-1,7.8,4.5,0.894,2.8,0.871,16.2,0.752,5.3,1.3,32.6
Japan,17,0.903,0.791,12.4,-8,12.2,3.2,0.948,19.8,0.675,13.5,0.774,5.4,1.2,32.1
Korea (Republic of),18,0.901,0.753,16.4,-19,15.9,3.7,0.92,25.5,0.645,18.4,0.72,..,..,..
Israel,19,0.899,0.778,13.5,-11,12.9,3.9,0.925,8.4,0.796,26.4,0.639,10.3,2.2,42.8
Luxembourg,20,0.898,0.827,8,1,7.8,2.6,0.927,5.8,0.738,15.1,0.826,5.9,1.4,34.8
France,21,0.897,0.813,9.4,-1,9.3,4,0.921,7.5,0.776,16.3,0.752,5.3,1.3,33.1
Belgium,22,0.896,0.821,8.3,2,8.3,4,0.901,8.1,0.773,12.7,0.794,4.2,1,27.6
Finland,23,0.895,0.843,5.8,9,5.7,3.4,0.907,2,0.83,11.6,0.796,3.9,1,27.1
Austria,24,0.893,0.815,8.7,3,8.5,3.7,0.912,4.3,0.785,17.5,0.757,4.9,1.1,30.5
Slovenia,25,0.89,0.838,5.9,9,5.8,3.6,0.898,2.6,0.863,11.3,0.758,3.7,0.9,25.6
Italy,26,0.887,0.784,11.5,-3,11.2,3,0.945,9.9,0.734,20.8,0.696,6.7,1.4,35.2
