r-value,Independent Value (X),Dependent Value (Y),Equation
1.0,2015 Human Development Index (HDI) (Value),2015 Human Development Index (HDI) ,Y = 1.0 * X + 0.0
1.0,2015 Human Development Index (HDI) ,2015 Human Development Index (HDI) (Value),Y = 1.0 * X + 0.0
0.9997356368783693,HDI rank,2014HDI rank,Y = 0.9993269408650222 * X + 0.07943981160335965
0.9997356368783693,2014HDI rank,HDI rank,Y = 1.0001445000366462 * X + -0.029588873137880455
0.9993449621456549,2015 Inequality-adjusted HDI (IHDI) Overall loss (%),2015 Coefficient of human inequality,Y = 0.978798089124594 * X + 0.017577685225088648
0.9993449621456549,2015 Coefficient of human inequality,2015 Inequality-adjusted HDI (IHDI) Overall loss (%),Y = 1.0203231539398463 * X + 0.009617964396066799
0.9966004765975341,Gender Inequality Index Rank,Gender Inequality,Y = 0.004090173844476262 * X + 0.032826613080336894
0.9966004765975341,Gender Inequality,Gender Inequality Index Rank,Y = 242.82892310207222 * X + -7.428934917607566
0.9883412128802266,HDI rank,2015 Human Development Index (HDI) (Value),Y = -0.0028169874304699465 * X + 0.9645309633887932
0.9883412128802266,HDI rank,2015 Human Development Index (HDI) ,Y = -0.0028169874304699465 * X + 0.9645309633887932
0.9883412128802266,2015 Human Development Index (HDI) (Value),HDI rank,Y = -346.75992605142744 * X + 336.64715874767353
0.9883412128802266,2015 Human Development Index (HDI) ,HDI rank,Y = -346.75992605142744 * X + 336.64715874767353
0.9883207096022073,2015 Human Development Index (HDI) (Value),2014HDI rank,Y = -346.61097853390896 * X + 336.5590264402316
0.9883207096022073,2015 Human Development Index (HDI) ,2014HDI rank,Y = -346.61097853390896 * X + 336.5590264402316
0.9883207096022073,2014HDI rank,2015 Human Development Index (HDI) (Value),Y = -0.0028180810347098032 * X + 0.9646790805881829
0.9883207096022073,2014HDI rank,2015 Human Development Index (HDI) ,Y = -0.0028180810347098032 * X + 0.9646790805881829
0.9865927183968183,2015 Life expectancy at birth (Years),2015 Inequality-adjusted life expectancy index Value,Y = 0.022507483211924976 * X + -0.934249956466007
0.9865927183968183,2015 Inequality-adjusted life expectancy index Value,2015 Life expectancy at birth (Years),Y = 43.24629203668191 * X + 42.29902646454196
0.9817591001900668,2015 Inequality-adjusted HDI (IHDI) Value,2014HDI rank,Y = -287.1073487880206 * X + 258.09742919413117
0.9817591001900668,2014HDI rank,2015 Inequality-adjusted HDI (IHDI) Value,Y = -0.0033571099272615462 * X + 0.8866656592562236
0.9816573061261487,HDI rank,2015 Inequality-adjusted HDI (IHDI) Value,Y = -0.0033540272276113884 * X + 0.8863202737416678
0.9816573061261487,2015 Inequality-adjusted HDI (IHDI) Value,HDI rank,Y = -287.3116409842391 * X + 258.1983659106348
0.9814501596901084,2015 Inequality-adjusted life expectancy index Value,2010- 2015 Inequality in life expectancy (%),Y = -62.612444803324685 * X + 58.85968703029555
